Animal,Slips
M CTRL 1,1
M CTRL 1,1
M CTRL 1,2
M CTRL 2,6
M CTRL 2,2
M CTRL 2,4
M CTRL 3,0
M CTRL 3,1
M CTRL 3,0
M CCl4 1,32
M CCl4 1,7
M CCl4 1,8
M CCl4 2,4
M CCl4 2,4
M CCl4 2,5
M CCl4 3,9
M CCl4 3,6
M CCl4 3,6
M CCl4 4,3
M CCl4 4,14
M CCl4 4,14
F CTRL 1,2
F CTRL 1,4
F CTRL 1,2
F CTRL 2,2
F CTRL 2,4
F CTRL 2,3
F CTRL 3,2
F CTRL 3,1
F CTRL 3,2
F CTRL 4,4
F CTRL 4,5
F CTRL 4,7
F CCl4 1,4
F CCl4 1,2
F CCl4 1,5
F CCl4 2,3
F CCl4 2,2
F CCl4 2,3
F CCl4 3,6
F CCl4 3,4
F CCl4 3,4
F CCl4 4,5
F CCl4 4,5
F CCl4 4,12
F CCl4 5,7
F CCl4 5,6
F CCl4 5,7
