Animal,Slips
M CTRL 1,0
M CTRL 1,3
M CTRL 1,1
M CTRL 2,4
M CTRL 2,2
M CTRL 2,3
M CTRL 3,5
M CTRL 3,7
M CTRL 3,2
M CCl4 1,18
M CCl4 1,20
M CCl4 1,19
M CCl4 2,16
M CCl4 2,18
M CCl4 2,17
M CCl4 3,21
M CCl4 3,19
M CCl4 3,20
F CTRL 1,4
F CTRL 1,6
F CTRL 1,5
F CTRL 2,7
F CTRL 2,6
F CTRL 2,8
F CTRL 3,3
F CTRL 3,5
F CTRL 3,4
F CTRL 4,6
F CTRL 4,4
F CTRL 4,5
F CCl4 1,16
F CCl4 1,18
F CCl4 1,20
F CCl4 2,15
F CCl4 2,15
F CCl4 2,19
F CCl4 3,19
F CCl4 3,21
F CCl4 3,20
F CCl4 4,14
F CCl4 4,8
F CCl4 4,10
F CCl4 5,21
F CCl4 5,13
F CCl4 5,10
